substrand_id;indicator_id;weight
40600204 ;406202;0
40600204 ;406203;0
40600204 ;406204;0
40600204 ;406205;0
40600204 ;406206;0
40600204 ;406207;1
40600204 ;406208;0
40600204 ;406209;0
40600204 ;406210;0
40600204 ;406211;0
40600204 ;406212;0
40600205 ;406201;0
40600205 ;406202;0
40600205 ;406203;0
40600205 ;406204;0
40600205 ;406205;0
40600205 ;406206;0
40600205 ;406207;0
40600205 ;406208;1
40600205 ;406209;0
40600205 ;406210;0
40600205 ;406211;0
40600205 ;406212;0
40600206 ;406201;0
40600206 ;406202;0
40600206 ;406203;0
40600206 ;406204;0
40600206 ;406205;0
40600206 ;406206;0
40600206 ;406207;0
40600206 ;406208;0
40600206 ;406209;1
40600206 ;406210;1
40600206 ;406211;0
40600206 ;406212;0
40600207 ;406201;0
40600207 ;406202;0
40600207 ;406203;0
40600207 ;406204;0
40600207 ;406205;0
40600207 ;406206;0
40600207 ;406207;0
40600207 ;406208;0
40600207 ;406209;0
40600207 ;406210;0
40600207 ;406211;1
